order_id;order_date;customer_id;customer_age;customer_segment;region;product_id;category;price;quantity;discount_pct;payment_method;channel;shipping_cost;subtotal;cost;profit;is_returned;marketing_channel;campaign_id;promo_flag
O110438;02/09/2024;C02567;24;Gold;North;P0194;Clothing;5.37;1;0.05;Gift Card;Online;5.73;5.1;3.45;-4.08;False;Affiliate;;False
O104640;21/10/2024;C02031;;Platinum;East;P0118;Home;118.68;1;0.09;;Store;3.32;108;78.39;26.29;False;;;False
O108537;15/04/2024;C00431;45;Silver;Central;P0061;Clothing;36.98;1;0.4;PayPal;Online;3.76;22.19;28.26;-9.83;False;Organic;;False
O111883;23/03/2024;C02797;62;Bronze;South;P0050;Clothing;25.41;1;0.25;Credit Card;Online;4.37;19.06;20.18;-5.49;False;Organic;;False
O111108;31/05/2023;C01059;29;Silver;West;P0185;Sports;155.56;1;0;Credit Card;Online;4.38;155.56;94.07;57.11;False;Email;;False
O103416;14/05/2023;C02806;43;Gold;South;P0196;Electronics;175.72;1;0.06;Credit Card;Mobile App;3.4;165.18;98.79;62.99;False;Organic;;False
O103428;01/12/2023;C02255;44;Bronze;North;P0146;Toys;182.58;2;0.02;PayPal;Online;3.07;357.86;213.4;141.39;False;Social;;False
O103083;02/01/2024;C00450;45;Bronze;South;P0028;Toys;159.91;1;0;Credit Card;Online;4.54;159.91;95.1;60.27;False;Organic;;False
O102150;07/10/2024;C02300;39;Bronze;East;P0064;Clothing;6.93;1;0.02;PayPal;Online;5.49;6.79;5.03;-3.73;False;Organic;;False
O102286;30/06/2024;C02172;30;Bronze;South;P0147;Home;110.21;1;0.01;Credit Card;Mobile App;3.85;109.11;66.46;38.8;False;Organic;;False
O104119;16/12/2024;C01944;32;Bronze;North;P0174;Toys;169.37;1;0.01;Gift Card;Mobile App;3.55;167.68;127.41;36.72;False;Organic;;False
O106822;16/07/2023;C00556;31;Silver;Central;P0177;Sports;162.12;1;0;Debit Card;Mobile App;5.07;162.12;88.83;68.22;False;Paid Search;;False
O105430;27/04/2024;C01081;31;Bronze;South;P0165;Clothing;101.6;3;0.01;Debit Card;Online;5.26;301.75;178.95;117.54;False;Social;;False
O104478;06/12/2024;C00645;36;Gold;West;P0118;Home;113.74;1;0.08;Credit Card;Online;3.69;104.64;78.39;22.56;False;Social;;False
O109871;21/04/2024;C00185;27;Bronze;East;P0177;Sports;155.14;1;0;Credit Card;Online;3.48;155.14;88.83;62.83;False;Email;;False
O108232;09/07/2023;C02600;19;Bronze;Central;P0080;Clothing;34.62;2;0;Credit Card;Mobile App;3.02;69.24;45.44;20.78;False;Email;;False
O106050;25/05/2024;C00667;42;Silver;East;P0110;Clothing;49.47;1;0;Credit Card;Mobile App;3.28;49.47;37.49;8.7;False;Email;;False
O111303;06/07/2024;C02995;60;Bronze;South;P0011;Toys;142.56;1;0.01;PayPal;Online;3.46;141.13;92.5;45.17;False;Organic;;False
O110490;28/02/2023;C02808;54;Bronze;North;P0192;Electronics;178.98;2;0;Credit Card;Mobile App;4.05;357.96;254.8;99.11;False;Social;;False
O110632;09/01/2023;C00479;38;Bronze;East;P0074;Home;212.37;1;0.02;PayPal;Online;4.97;208.12;157.95;45.2;False;Email;;False
O100535;02/04/2023;C02220;35;Silver;South;P0108;Home;163.64;1;0;PayPal;Mobile App;5.44;163.64;89.83;68.37;False;Organic;;False
O105547;27/12/2023;C02048;29;Gold;South;P0185;Sports;153.09;2;0.03;PayPal;Online;10.22;296.99;188.14;98.63;False;Organic;;False
O102945;24/02/2023;C02167;24;Silver;South;P0144;Electronics;172.01;1;0;Credit Card;Online;3.89;172.01;89.75;78.37;False;Social;;False
O107592;08/02/2024;C02720;23;Bronze;East;P0143;Electronics;91.22;1;0;Gift Card;Store;3.81;91.22;58.71;28.7;False;Organic;;False
O104769;13/12/2024;C00871;39;Platinum;South;P0058;Beauty;155.97;1;0.08;Debit Card;Online;4.94;143.49;103.93;34.62;False;Email;;False
O100632;01/02/2023;C00336;45;Bronze;South;P0081;Home;138.76;1;0;PayPal;Mobile App;8.98;138.76;94.98;34.8;False;Email;;False
O105459;22/03/2024;C00455;42;Bronze;Central;P0197;Electronics;111.44;2;0.01;PayPal;Online;10.51;220.65;138.64;71.5;False;Organic;;False
O100455;05/06/2023;C02424;18;Silver;South;P0157;Clothing;126.47;2;0;Credit Card;Store;4.8;252.94;193.9;54.24;False;Email;;False
O102863;08/03/2023;C02240;36;Gold;West;P0141;Beauty;178.38;3;0.05;Credit Card;Mobile App;3.23;-338.92;-206.78;-135.37;True;Organic;;False
O104408;02/07/2024;C01082;42;Bronze;East;P0051;Sports;167.94;1;0.01;Credit Card;Store;5.93;166.26;127.48;32.85;False;Paid Search;;False
O108742;23/08/2024;C01310;31;Gold;Central;P0024;Electronics;103.55;1;0.06;Credit Card;Mobile App;4.45;97.34;67.2;25.69;False;Paid Search;;False
O111994;06/01/2023;C00165;33;Gold;Central;P0190;Sports;89.28;1;0.09;Credit Card;Online;7.41;81.24;73.32;0.51;False;Paid Search;;False
O100701;05/10/2024;C00493;53;Bronze;North;P0180;Electronics;246.16;1;0;PayPal;Online;5.63;246.16;169.54;70.99;False;Organic;;False
O108885;09/04/2023;C02067;39;Silver;West;P0152;Beauty;173.81;2;0;Credit Card;Mobile App;4.41;347.62;223.6;119.61;False;Organic;;False
O102361;26/07/2023;C02741;48;Silver;East;P0126;Home;247.13;1;0;PayPal;Store;4.08;247.13;182.38;60.67;False;Affiliate;;False
O105198;29/03/2024;C01867;50;Gold;East;P0058;Beauty;145.12;1;0.05;Gift Card;Online;8.55;137.86;103.93;25.38;False;Email;;False
O105549;22/12/2023;C01506;35;Bronze;Central;P0138;Home;145.68;1;0;Credit Card;Online;5.43;145.68;110.23;30.02;False;Paid Search;;False
O110123;30/11/2023;C01075;25;Bronze;South;P0068;Electronics;213.08;2;0;PayPal;Online;5.22;426.16;288.6;132.34;False;Email;;False
O104715;23/02/2024;C01564;32;Bronze;East;P0006;Home;141.83;2;0.05;Credit Card;Mobile App;9.56;269.48;181.58;78.34;False;Social;;False
O100879;28/02/2024;C00904;18;Platinum;North;P0099;Beauty;148.35;1;0.12;Credit Card;Online;3.71;130.55;103.14;23.7;False;Email;;False
O106687;15/07/2024;C01221;27;Silver;East;P0192;Electronics;197.23;1;0.05;Credit Card;Mobile App;6.6;187.37;127.4;53.37;False;Organic;;False
O110314;16/12/2024;C00670;39;Gold;East;P0036;Electronics;103.86;1;0.26;PayPal;Online;3.09;76.86;60.66;13.11;False;Organic;;False
O103113;09/10/2023;C01508;31;Silver;South;P0073;Electronics;153.94;1;0;Credit Card;Mobile App;7.28;153.94;117.31;29.35;False;Affiliate;;False
O104324;28/10/2024;C00647;42;Bronze;East;P0021;Home;218.15;2;0;Credit Card;Online;4.38;436.3;296.76;135.16;False;Organic;;False
O111362;04/10/2024;C01350;40;Gold;Central;P0183;Toys;101.19;2;0.05;Credit Card;Online;4.05;192.26;178.68;9.53;False;Organic;;False
O103861;25/05/2024;C02014;43;Gold;South;P0074;Home;207.77;1;0.04;PayPal;Mobile App;3.89;199.46;157.95;37.62;False;Affiliate;;False
O110036;08/03/2023;C01750;33;Bronze;West;P0091;Sports;155.89;2;0.01;Credit Card;Online;6.73;308.66;180.38;121.55;False;Paid Search;;False
O101994;14/02/2023;C00457;41;Silver;West;P0102;Toys;147.67;2;0.01;Credit Card;Store;4.15;292.39;178.66;109.58;False;Paid Search;;False
O103783;21/03/2024;C02427;37;Silver;North;P0131;Clothing;16.06;3;0;Credit Card;Online;3.97;48.18;32.46;11.75;False;Affiliate;;False
O105654;28/10/2023;C01202;32;Silver;Central;P0006;Home;140.85;4;0;Credit Card;Online;7.18;563.4;363.16;193.06;False;Organic;;False
O105386;13/08/2023;C00449;30;Bronze;Central;P0088;Toys;163.02;1;0;PayPal;Online;4.19;163.02;128.49;30.34;False;Email;;False
O107908;02/05/2023;C02530;47;Silver;North;P0052;Clothing;40.17;1;0;Credit Card;Mobile App;4.55;40.17;28.67;6.95;False;Email;;False
O110434;10/04/2023;C02521;43;Gold;Central;P0009;Toys;134.97;1;0.07;Credit Card;Online;3.73;125.52;104.45;17.34;False;Organic;;False
O104376;28/11/2024;C02426;34;Gold;North;P0034;Sports;114.33;1;0.03;Credit Card;Online;11.96;110.9;68.06;30.88;False;Paid Search;;False
O103853;14/05/2023;C02342;30;Bronze;East;P0002;Electronics;149.12;2;0;Credit Card;Online;3.13;298.24;219.78;75.33;False;Social;;False
O104207;19/06/2024;C02473;31;Bronze;East;P0136;Beauty;219.99;1;0.01;Gift Card;Store;9.68;217.79;160.28;47.83;False;Organic;;False
O111747;04/08/2024;C02971;45;Gold;South;P0123;Beauty;204.88;2;0.05;Credit Card;Online;4.2;389.27;262;123.07;False;Organic;;False
O104456;27/07/2023;C01133;41;Bronze;South;P0140;Sports;96.85;1;0;Debit Card;Mobile App;3.55;96.85;80.03;13.27;False;Organic;;False
O105359;08/07/2023;C00613;27;Bronze;South;P0176;Clothing;87.48;1;0;PayPal;Mobile App;3.23;87.48;50.24;34.01;False;Social;;False
O111112;14/06/2024;C02735;48;Bronze;Central;P0121;Beauty;182.66;1;0.01;PayPal;Store;8.07;180.83;136.95;35.81;False;Organic;;False
O111832;29/06/2024;C01583;39;Platinum;North;P0154;Sports;167.33;1;0.13;PayPal;Online;6.53;145.58;103.86;35.19;False;Social;;False
O111690;13/01/2023;C01916;63;Gold;Central;P0102;Toys;144.41;1;0.04;Credit Card;Online;3.43;-138.63;-89.33;-52.73;True;Organic;;False
O110710;11/02/2024;C02136;43;Gold;North;P0071;Home;169.26;1;0.06;Debit Card;Store;6.27;159.1;95.15;57.68;False;Social;;False
O103538;11/12/2023;C01198;33;Bronze;South;P0110;Clothing;52.36;2;0.02;Credit Card;Online;3.89;102.63;74.98;23.76;False;Email;;False
O105451;09/02/2024;C01189;44;Silver;East;P0066;Home;213.65;1;0;PayPal;Online;3.87;-213.65;-128.05;-89.47;True;Social;;False
O110334;27/10/2024;C02056;31;Platinum;East;P0169;Clothing;46.2;1;0.11;Credit Card;Online;4.84;41.12;31.83;4.45;False;Paid Search;;False
O100199;09/02/2024;C00608;41;Bronze;East;P0120;Beauty;188.53;1;0.01;Credit Card;Mobile App;4.15;186.64;142.39;40.1;False;Organic;;False
O103595;22/04/2023;C01069;20;Bronze;West;P0154;Sports;173.92;2;0;PayPal;Online;3.7;347.84;207.72;136.42;False;Paid Search;;False
O107960;11/06/2024;C01064;49;Gold;West;P0200;Home;105.49;1;0.07;Credit Card;Online;3.69;98.11;76.04;18.38;False;Organic;;False
O102601;07/06/2023;C02957;37;Silver;North;P0089;Toys;133.49;3;0.02;Credit Card;Online;3.96;392.46;286.89;101.61;False;Paid Search;;False
O102098;26/05/2023;C01262;30;Silver;Central;P0094;Sports;137.38;1;0;Credit Card;Online;4.48;137.38;98.82;34.08;False;Paid Search;;False
O106647;06/04/2023;C01045;37;Bronze;Central;P0116;Toys;174.68;2;0.01;Credit Card;Mobile App;5.07;345.87;207.3;133.5;False;Organic;;False
O106074;03/01/2024;C01498;65;Silver;North;P0118;Home;110.51;1;0;Credit Card;Mobile App;3.41;110.51;78.39;28.71;False;Social;;False
O105782;26/12/2023;C01397;38;Silver;South;P0028;Toys;186.46;1;0.01;Debit Card;Online;4.85;184.6;95.1;84.65;False;Organic;;False
O102793;15/08/2023;C00566;59;Platinum;North;P0179;Sports;147.28;1;0.13;Credit Card;Online;3.4;128.13;92.94;31.79;False;Organic;;False
O108479;26/02/2023;C02088;31;Silver;West;P0102;Toys;131.5;2;0;PayPal;Online;3.55;263;178.66;80.79;False;Email;;False
O110386;02/01/2023;C01253;42;Bronze;South;P0026;Home;149.09;1;0;Debit Card;Online;5.83;149.09;111.24;32.02;False;Organic;;False
O109425;10/11/2024;C01220;39;Bronze;East;P0034;Sports;113.95;1;0.01;Debit Card;Online;3.8;-112.81;-68.06;-48.55;True;Email;;False
O108349;29/05/2024;C01732;29;Bronze;South;P0124;Home;91.08;1;0;Credit Card;Online;3.07;91.08;58.8;29.21;False;Paid Search;;False
O100175;04/12/2023;C02879;43;Bronze;Central;P0062;Toys;137.77;3;0;Credit Card;Mobile App;5.44;413.31;325.17;82.7;False;Organic;;False
O105687;11/05/2024;C00310;35;Silver;East;P0149;Beauty;193.03;1;0.01;Credit Card;Mobile App;4.59;191.1;138.53;47.98;False;Organic;;False
O110017;24/12/2024;C02594;26;Platinum;East;P0136;Beauty;215.96;1;0.09;Debit Card;Mobile App;8.96;196.52;160.28;27.28;False;Organic;;False
O101109;23/05/2024;C00712;19;Silver;South;P0050;Clothing;24.8;2;0;Gift Card;Mobile App;8.68;49.6;40.36;0.56;False;Organic;;False
O103434;20/10/2024;C00184;31;Silver;South;P0181;Toys;183.04;1;0;PayPal;Store;3.59;183.04;135.6;43.85;False;Email;;False
O106348;15/01/2024;C01176;43;Silver;South;P0151;Electronics;147.91;1;0;PayPal;Mobile App;4.64;147.91;116.83;26.44;False;Email;;False
O102350;06/08/2024;C01115;38;Bronze;North;P0023;Sports;162.22;2;0.01;PayPal;Online;3.98;321.2;210.18;107.04;False;Social;;False
O103120;18/02/2024;C00156;38;Gold;West;P0013;Sports;172.42;1;0.05;Debit Card;Online;5.28;163.8;123.44;35.08;False;Social;;False
O108468;23/11/2023;C02360;41;Silver;Central;P0176;Clothing;89.21;1;0;Credit Card;Online;4.64;89.21;50.24;34.33;False;Organic;;False
O105956;20/03/2023;C00080;27;Bronze;North;P0110;Clothing;51.62;2;0;Credit Card;Online;3.69;103.24;74.98;24.57;False;Organic;;False
O111165;23/02/2024;C00257;29;Bronze;Central;P0170;Beauty;124.16;2;0;Credit Card;Online;4.87;248.32;143.64;99.81;False;Paid Search;;False
O101411;13/05/2023;C02505;45;Silver;South;P0126;Home;239.17;1;0;Credit Card;Mobile App;3.01;239.17;182.38;53.78;False;Organic;;False
O103679;30/06/2024;C00904;24;Bronze;East;P0144;Electronics;152.05;1;0.01;PayPal;Online;3.25;-150.53;-89.75;-64.03;True;Organic;;False
O101911;27/10/2023;C00222;39;Bronze;East;P0177;Sports;163.47;1;0.03;Credit Card;Online;10.69;158.57;88.83;59.05;False;Email;;False
O101406;27/11/2023;C00365;32;Bronze;Central;P0164;Sports;123.55;1;0.31;PayPal;Mobile App;3.46;85.25;94.31;-12.52;False;Affiliate;CAM_20231127;True
O101626;17/07/2024;C00374;43;Bronze;Central;P0021;Home;216.23;1;0;Credit Card;Online;4.27;216.23;148.38;63.58;False;Affiliate;;False
O110189;21/01/2024;C01126;31;Bronze;North;P0066;Home;192.62;1;0;Debit Card;Online;3.13;192.62;128.05;61.44;False;Affiliate;;False
O107867;27/12/2024;C01525;29;Gold;South;P0173;Electronics;128.05;1;0.05;Credit Card;Online;4.78;121.65;86.32;30.55;False;Organic;;False
O101012;04/11/2023;C00966;41;Bronze;East;P0057;Electronics;121.81;1;0;Credit Card;Store;4.55;121.81;83.46;33.8;False;Organic;;False
O111583;30/06/2024;C01807;25;Bronze;South;P0182;Clothing;21.86;1;0;PayPal;Online;5.87;21.86;16.29;-0.3;False;Paid Search;;False
O111998;08/10/2023;C02281;49;Bronze;North;P0173;Electronics;133.77;1;0;Credit Card;Online;3.94;133.77;86.32;43.51;False;Organic;;False
O103292;28/08/2024;C02475;20;Silver;South;P0088;Toys;182.44;1;0;Credit Card;Mobile App;3.13;182.44;128.49;50.82;False;Organic;;False
O102166;09/10/2023;C02255;46;Gold;Central;P0198;Clothing;60.97;1;0.03;Credit Card;Store;3.32;59.14;43.56;12.26;False;Organic;;False
O104725;01/09/2024;C00467;37;Gold;South;P0073;Electronics;169.19;3;0.05;PayPal;Mobile App;7.46;482.19;351.93;122.8;False;Organic;;False
O108253;16/03/2023;C01127;32;Bronze;South;P0119;Toys;198.68;1;0.03;Credit Card;Online;5.8;192.72;141.95;44.97;False;Social;;False
O103969;08/06/2023;C02447;47;Bronze;Central;P0108;Home;164.48;1;0.03;PayPal;Online;3.01;159.55;89.83;66.71;False;Email;;False
O111664;07/08/2023;C01542;47;Bronze;South;P0125;Clothing;79.87;1;0.24;Credit Card;Online;3.61;60.7;57.88;-0.79;False;Email;;False
O100498;12/01/2024;C00743;20;Silver;South;P0097;Home;163.7;1;0.01;Credit Card;Mobile App;4.63;162.06;107.95;49.48;False;Social;;False
O106460;19/04/2023;C02282;30;Silver;North;P0085;Toys;122.36;1;0.02;Debit Card;Online;3.89;119.91;78.95;37.07;False;Social;;False
O106256;04/02/2023;C00242;25;Bronze;North;P0033;Beauty;152;1;0;Debit Card;Online;8.34;152;114.69;28.97;False;Social;;False
O111912;06/03/2024;C02864;35;Gold;West;P0031;Beauty;130.89;1;0.04;Debit Card;Store;8.41;125.65;76.17;41.07;False;Social;;False
O105587;13/07/2024;C01041;38;Bronze;East;P0099;Beauty;152.5;1;0;Credit Card;Online;6.71;152.5;103.14;42.65;False;Paid Search;;False
O105408;18/03/2023;C01587;46;Silver;Central;P0072;Clothing;123.01;1;0.02;PayPal;Store;3.37;120.55;65.27;51.91;False;Email;;False
O111991;09/02/2023;C02031;42;Bronze;West;P0057;Electronics;123.46;1;0;Debit Card;Online;3.19;-123.46;-83.46;-43.19;True;Email;;False
O105329;30/08/2023;C02981;36;Bronze;Central;P0031;Beauty;135.18;2;0;Credit Card;Mobile App;9.38;270.36;152.34;108.64;False;Organic;;False
O110671;04/03/2023;C02485;33;Silver;West;P0035;Clothing;90.42;1;0.02;Credit Card;Online;4.91;88.61;62.03;21.67;False;Organic;;False
O104642;18/12/2023;C01169;37;Platinum;East;P0171;Home;125.81;1;0.15;Debit Card;Online;6.44;106.94;68.19;32.31;False;Organic;;False
O109985;19/05/2023;C00262;31;Silver;West;P0151;Electronics;164.51;1;0.02;Debit Card;Mobile App;4.7;161.22;116.83;39.69;False;Email;;False
O110282;06/03/2023;C02284;;Gold;South;P0148;Toys;102.54;2;0.04;;Online;5.19;196.88;160.94;30.75;False;;;False
O109503;23/10/2024;C01547;22;Bronze;South;P0121;Beauty;190.08;1;0;Credit Card;Mobile App;4.59;190.08;136.95;48.54;False;Social;;False
O101852;18/11/2023;C02642;38;Bronze;South;P0171;Home;119.08;3;0;Credit Card;Mobile App;3.72;357.24;204.57;148.95;False;Social;;False
O111942;02/12/2023;C01427;28;Silver;North;P0080;Clothing;34.69;3;0;PayPal;Online;4.9;104.07;68.16;31.01;False;Organic;;False
O108514;26/04/2024;C02132;24;Silver;Central;P0184;Sports;185.9;1;0.03;PayPal;Online;4.15;180.32;128.69;47.48;False;Email;;False
O105464;07/12/2024;C02206;49;Platinum;Central;P0154;Sports;165.72;1;0.1;Credit Card;Online;6.01;149.15;103.86;39.28;False;Affiliate;;False
O108187;15/04/2024;C00518;27;Silver;West;P0191;Sports;126.5;1;0;Credit Card;Online;6.07;126.5;79.24;41.19;False;Organic;;False
O104790;03/02/2024;C00695;42;Bronze;West;P0175;Toys;160.31;2;0;Credit Card;Online;3.45;320.62;241.32;75.85;False;Paid Search;;False
O106803;16/04/2024;C01366;23;Bronze;North;P0126;Home;262.47;1;0.01;PayPal;Online;3.41;259.85;182.38;74.06;False;Social;;False
O100313;26/02/2023;C00180;28;Bronze;South;P0031;Beauty;130.41;2;0;Credit Card;Online;4.19;260.82;152.34;104.29;False;Email;;False
O109119;08/11/2024;C02092;31;Platinum;South;P0131;Clothing;17.61;1;0.11;PayPal;Online;4.96;15.67;10.82;-0.11;False;Social;;False
O107675;09/04/2023;C00252;26;Bronze;South;P0168;Electronics;247.04;1;0;Credit Card;Online;8.09;247.04;170.93;68.02;False;Social;;False
O105100;03/12/2023;C00754;38;Gold;Central;P0156;Sports;135.36;1;0.25;PayPal;Mobile App;3.04;101.52;93.32;5.16;False;Organic;;False
O107121;28/02/2023;C00213;46;Bronze;Central;P0148;Toys;107.88;1;0.23;PayPal;Online;3.35;83.07;80.47;-0.75;False;Organic;;False
O105056;22/03/2023;C02296;33;Platinum;West;P0029;Toys;132.93;1;0.1;PayPal;Online;3.2;119.64;98.97;17.47;False;Organic;;False
O100999;30/01/2024;C00801;24;Silver;West;P0129;Sports;155.05;3;0;PayPal;Online;7.49;465.15;306.69;150.97;False;Organic;;False
O101663;19/04/2024;C01647;43;Bronze;South;P0181;Toys;168.58;1;0.01;PayPal;Online;6.96;166.89;135.6;24.33;False;Paid Search;;False
O108946;21/09/2024;C01680;46;Silver;North;P0106;Clothing;80.3;1;0;Debit Card;Online;3.76;80.3;40.37;36.17;False;Paid Search;;False
O100115;05/11/2024;C01716;36;Gold;West;P0082;Clothing;71.93;1;0.08;Debit Card;Online;10.74;66.18;48.77;6.67;False;Organic;;False
O109106;26/03/2024;C00207;45;Silver;North;P0182;Clothing;19.93;1;0;Credit Card;Store;9.52;19.93;16.29;-5.88;False;Organic;;False
O105421;14/08/2024;C01415;36;Bronze;West;P0051;Sports;158.13;2;0.01;PayPal;Online;7.44;313.1;254.96;50.7;False;Organic;;False
O101763;04/02/2023;C00436;58;Silver;East;P0047;Beauty;140.89;2;0.23;PayPal;Online;3.02;216.97;180.2;33.75;False;Organic;;False
O107461;13/09/2024;C00485;33;Silver;South;P0188;Clothing;54.9;1;0;Credit Card;Store;4.25;54.9;35.92;14.73;False;Organic;;False
O111607;01/09/2024;C00371;24;Silver;West;P0191;Sports;141.37;1;0;Credit Card;Online;3.47;141.37;79.24;58.66;False;Social;;False
O102895;27/04/2023;C00071;18;Silver;Central;P0160;Toys;188.34;3;0;Credit Card;Mobile App;3.45;565.02;366.3;195.27;False;Organic;;False
O100628;28/01/2024;C00826;28;Bronze;West;P0117;Clothing;53.36;1;0;Credit Card;Online;4.7;53.36;31.07;17.59;False;Email;;False
O101993;21/11/2023;C01201;37;Bronze;Central;P0079;Toys;172.5;2;0.01;Credit Card;Online;5.2;341.55;188.28;148.07;False;Email;;False
O108760;19/09/2024;C01471;26;Silver;East;P0140;Sports;113.32;1;0.04;Credit Card;Mobile App;3.33;108.79;80.03;25.43;False;Organic;;False
O110528;04/07/2023;C00054;38;Bronze;North;P0049;Clothing;68.28;1;0;Debit Card;Online;5.12;68.28;38.24;24.92;False;Social;;False
O102428;17/11/2023;C02620;45;Platinum;South;P0126;Home;240;1;0.08;Credit Card;Mobile App;4.11;220.8;182.38;34.31;False;Organic;;False
O102626;23/02/2023;C00321;30;Bronze;West;P0076;Beauty;179.6;1;0;Credit Card;Online;3.34;179.6;107.93;68.33;False;Organic;;False
O107566;16/04/2023;C01232;41;Bronze;West;P0162;Electronics;198.38;1;0.01;PayPal;Online;4.56;196.4;128.18;63.66;False;Organic;;False
O100049;30/08/2023;C00731;37;Bronze;West;P0145;Home;150.43;1;0.02;Debit Card;Store;9.94;147.42;128.41;9.07;False;Organic;;False
O111472;23/07/2023;C00698;29;Gold;North;P0048;Electronics;190.44;3;0.07;Credit Card;Online;7.99;531.33;337.11;186.23;False;Social;;False
O110766;26/03/2024;C02401;32;Gold;West;P0006;Home;144.41;1;0.04;Credit Card;Online;4.79;138.63;90.79;43.05;False;Email;;False
O101668;13/12/2023;C01961;44;Gold;Central;P0095;Toys;126.01;1;0.04;Credit Card;Mobile App;5.77;120.97;109.37;5.83;False;Organic;;False
O105143;28/10/2024;C02399;32;Bronze;North;P0117;Clothing;51.6;1;0;Credit Card;Online;3.17;51.6;31.07;17.36;False;Affiliate;;False
O108362;09/06/2024;C00936;21;Silver;East;P0021;Home;222.63;1;0;Credit Card;Online;5.44;222.63;148.38;68.81;False;Organic;;False
O111212;05/05/2023;C02475;36;Silver;South;P0174;Toys;168.23;2;0;Debit Card;Store;6.1;336.46;254.82;75.54;False;Email;;False
O101619;06/11/2023;C02118;45;Bronze;West;P0118;Home;112.41;1;0;Credit Card;Mobile App;8.59;112.41;78.39;25.43;False;Social;;False
O107439;05/04/2023;C00132;53;Bronze;West;P0162;Electronics;192.53;1;0;Debit Card;Mobile App;4.5;192.53;128.18;59.85;False;Organic;;False
O108236;04/01/2024;C02018;30;Bronze;North;P0158;Sports;151.13;1;0;PayPal;Online;4.62;151.13;130.01;16.5;False;Organic;;False
O107155;05/09/2024;C00147;29;Gold;North;P0107;Electronics;202.46;2;0.04;Credit Card;Online;3.07;388.72;265.1;120.55;False;Social;;False
O110495;19/04/2024;C00226;22;Gold;East;P0187;Home;168.33;1;0.05;Credit Card;Mobile App;4.43;159.91;129.45;26.03;False;Organic;;False
O106616;22/10/2023;C00655;42;Silver;South;P0153;Beauty;125.33;1;0;Credit Card;Online;4.43;125.33;79.66;41.24;False;Affiliate;;False
O101065;05/07/2024;C00043;31;Silver;South;P0023;Sports;147.95;2;0.01;PayPal;Mobile App;3.82;292.94;210.18;78.94;False;Paid Search;;False
O107239;07/10/2023;C02348;41;Bronze;East;P0093;Home;120.85;1;0.02;Credit Card;Store;5.09;118.43;70.65;42.69;False;Organic;;False
O102565;21/01/2024;C00138;32;Silver;East;P0119;Toys;187.85;1;0.03;Credit Card;Store;3.45;182.21;141.95;36.81;False;Email;;False
O101987;14/06/2024;C00719;40;Silver;East;P0056;Sports;197.37;1;0;Credit Card;Mobile App;3.28;197.37;117.76;76.33;False;Organic;;False
O106337;15/04/2023;C01198;27;Gold;West;P0131;Clothing;17.88;1;0.03;Debit Card;Mobile App;4.64;17.34;10.82;1.88;False;Email;;False
